HK,Residual,Psipred,CA
67.54,73.9,76.6,68.6
67.57,73.97,76.6,68.72
67.63,73.99,76.62,68.82
67.64,74.01,76.62,68.9
67.65,74.01,76.64,68.91
67.65,74.02,76.68,69.15
67.66,74.06,76.69,69.17
67.67,74.09,76.69,69.18
67.67,74.11,76.69,69.19
67.71,74.12,76.7,69.22
67.77,74.13,76.71,69.22
67.8,74.14,76.72,69.26
67.81,74.16,76.73,69.32
67.83,74.23,76.74,69.33
67.84,74.23,76.74,69.43
67.85,74.25,76.75,69.52
67.87,74.27,76.77,69.56
67.88,74.27,76.78,69.66
67.91,74.29,76.78,69.66
67.92,74.3,76.79,69.67
67.92,74.33,76.8,69.7
67.95,74.34,76.8,69.72
67.96,74.36,76.83,69.84
67.97,74.37,76.83,69.88
67.99,74.41,76.85,69.9
68.01,74.46,76.86,69.91
68.01,74.46,76.86,69.91
68.01,74.46,76.87,69.95
68.07,74.53,76.87,70.05
68.09,74.54,76.88,70.06
68.11,74.55,76.88,70.08
68.11,74.56,76.89,70.12
68.11,74.59,76.89,70.14
68.11,74.6,76.9,70.15
68.13,74.6,76.92,70.21
68.18,74.61,76.96,70.22
68.2,74.67,76.96,70.33
68.2,74.67,76.96,70.48
68.24,74.72,76.97,70.58
68.24,74.74,76.97,70.6
68.24,74.77,76.98,70.64
68.28,74.78,77,70.65
68.31,74.78,77,70.81
68.32,74.79,77.01,70.97
68.33,74.86,77.02,71
68.37,74.86,77.02,71.03
68.42,74.87,77.02,71.14
68.43,74.87,77.03,71.24
68.44,74.89,77.05,71.26
68.44,74.9,77.06,71.29
68.49,74.91,77.06,71.51
68.5,74.91,77.07,71.67
68.51,74.92,77.07,71.95
68.56,74.93,77.08,72.08
68.56,74.96,77.08,72.13
68.57,75,77.08,72.2
68.63,75,77.09,72.24
68.64,75,77.09,72.37
68.64,75.01,77.09,72.4
68.66,75.02,77.1,72.61
68.67,75.04,77.1,72.99
68.67,75.07,77.12,73.17
68.7,75.08,77.12,73.31
68.73,75.09,77.12,73.43
68.75,75.13,77.13,73.43
68.76,75.15,77.14,73.53
68.77,75.18,77.14,74.08
68.78,75.26,77.15,74.09
68.8,75.29,77.16,74.24
68.8,75.3,77.16,74.29
68.87,75.31,77.16,74.37
68.87,75.32,77.18,74.42
68.88,75.33,77.19,74.8
68.92,75.4,77.2,74.9
68.94,75.44,77.21,75.06
68.95,75.45,77.24,75.15
68.95,75.45,77.25,75.22
68.96,75.45,77.25,75.32
69,75.47,77.25,75.36
69.03,75.48,77.25,75.39
69.07,75.53,77.26,75.68
69.08,75.53,77.27,75.85
69.1,75.54,77.27,75.87
69.11,75.56,77.29,75.89
69.12,75.57,77.29,75.92
69.13,75.58,77.3,75.97
69.16,75.6,77.3,75.98
69.16,75.62,77.3,76.17
69.19,75.64,77.31,77.64
69.22,75.65,77.32,77.65
69.23,75.66,77.35,77.93
69.26,75.67,77.36,78.13
69.27,75.69,77.36,78.18
69.3,75.7,77.36,80.28
69.32,75.71,77.36,80.76
69.33,75.79,77.37,80.92
69.34,75.8,77.4,81.96
69.34,75.82,77.4,82.13
69.35,75.84,77.4,82.79
69.37,75.85,77.41,82.89
69.44,75.85,77.42,83.14
69.47,75.86,77.43,83.16
69.5,75.87,77.45,83.88
69.51,75.88,77.47,84.76
69.54,75.91,77.47,85.46
69.54,75.91,77.48,88.52
69.56,75.91,77.49,
69.56,76,77.49,
69.56,76.01,77.5,
69.57,76.01,77.51,
69.6,76.01,77.51,
69.61,76.02,77.52,
69.62,76.07,77.54,
69.62,76.07,77.54,
69.63,76.18,77.56,
69.65,76.19,77.56,
69.73,76.21,77.56,
69.75,76.22,77.57,
69.75,76.24,77.58,
69.77,76.26,77.59,
69.78,76.27,77.61,
69.89,76.27,77.61,
69.95,76.32,77.61,
70.01,76.36,77.62,
70.04,76.41,77.62,
70.04,76.44,77.62,
70.05,76.45,77.63,
70.08,76.45,77.64,
70.08,76.46,77.64,
70.1,76.49,77.66,
70.1,76.52,77.67,
70.16,76.52,77.67,
70.18,76.54,77.68,
70.18,76.54,77.7,
70.18,76.55,77.71,
70.24,76.55,77.71,
70.25,76.57,77.72,
70.25,76.58,77.73,
70.27,76.59,77.73,
70.29,76.61,77.74,
70.3,76.68,77.75,
70.3,76.69,77.76,
70.32,76.73,77.76,
70.33,76.74,77.77,
70.33,76.75,77.77,
70.35,76.77,77.79,
70.36,76.77,77.79,
70.39,76.78,77.8,
70.41,76.78,77.8,
70.44,76.81,77.81,
70.46,76.86,77.81,
70.47,76.91,77.81,
70.48,76.91,77.81,
70.56,76.92,77.81,
70.56,76.93,77.81,
70.56,76.95,77.83,
70.57,76.97,77.85,
70.57,77,77.85,
70.58,77.01,77.88,
70.64,77.04,77.88,
70.64,77.05,77.88,
70.66,77.06,77.88,
70.7,77.07,77.89,
70.72,77.08,77.89,
70.74,77.11,77.9,
70.75,77.11,77.91,
70.78,77.11,77.92,
70.79,77.12,77.93,
70.84,77.17,77.93,
70.85,77.17,77.94,
70.86,77.19,77.94,
70.91,77.21,77.94,
70.94,77.26,77.95,
70.97,77.28,77.95,
70.98,77.3,77.97,
71.04,77.31,77.98,
71.04,77.31,77.99,
71.09,77.33,77.99,
71.09,77.35,77.99,
71.14,77.35,78.01,
71.15,77.37,78.02,
71.16,77.37,78.02,
71.16,77.41,78.02,
71.17,77.41,78.03,
71.17,77.44,78.03,
71.2,77.46,78.03,
71.21,77.47,78.04,
71.22,77.48,78.04,
71.26,77.49,78.05,
71.27,77.5,78.05,
71.3,77.51,78.07,
71.3,77.53,78.07,
71.32,77.58,78.08,
71.39,77.61,78.08,
71.39,77.62,78.09,
71.41,77.63,78.1,
71.42,77.66,78.11,
71.43,77.71,78.12,
71.44,77.75,78.12,
71.45,77.76,78.12,
71.45,77.78,78.14,
71.45,77.79,78.19,
71.45,77.79,78.19,
71.46,77.81,78.2,
71.48,77.85,78.2,
71.48,77.86,78.2,
71.52,77.88,78.22,
71.57,77.88,78.22,
71.61,77.94,78.23,
71.71,77.95,78.23,
71.71,77.96,78.23,
71.72,78.01,78.24,
71.74,78.03,78.25,
71.75,78.08,78.25,
71.76,78.11,78.25,
71.77,78.11,78.26,
71.8,78.11,78.27,
71.81,78.12,78.29,
71.88,78.13,78.29,
71.89,78.17,78.3,
71.89,78.18,78.31,
71.92,78.19,78.31,
71.92,78.19,78.33,
71.93,78.25,78.33,
71.94,78.27,78.34,
71.95,78.29,78.34,
72,78.31,78.35,
72,78.31,78.35,
72.01,78.32,78.35,
72.03,78.41,78.36,
72.06,78.42,78.36,
72.14,78.43,78.36,
72.16,78.49,78.38,
72.23,78.5,78.39,
72.26,78.54,78.39,
72.32,78.55,78.41,
72.38,78.61,78.42,
72.4,78.65,78.43,
72.41,78.66,78.43,
72.43,78.68,78.44,
72.44,78.68,78.44,
72.45,78.71,78.47,
72.52,78.75,78.47,
72.54,78.77,78.48,
72.56,78.77,78.48,
72.56,78.77,78.49,
72.57,78.77,78.5,
72.61,78.79,78.52,
72.62,78.81,78.52,
72.63,78.87,78.53,
72.65,78.87,78.53,
72.68,78.91,78.53,
72.69,78.93,78.55,
72.71,78.94,78.55,
72.72,78.94,78.56,
72.74,78.95,78.57,
72.75,79.02,78.57,
72.76,79.02,78.58,
72.82,79.05,78.59,
72.84,79.05,78.62,
72.86,79.11,78.64,
72.9,79.13,78.65,
72.9,79.14,78.65,
72.93,79.15,78.67,
72.94,79.21,78.67,
72.96,79.23,78.68,
73,79.23,78.68,
73.01,79.24,78.68,
73.03,79.24,78.69,
